"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"48.54 GHz";"49.44 GHz";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.552, 5.550C), MOBILE";"5.149, 5.340, 5.555";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.550C, 5.552), MOBILE, RADIO ASTRONOMY";"5.149, 5.340, 5.555, ECA17A";"ERC/REC 12-11";"Fixed";"EN 302 217";"Within the band 48.5-50.2 GHz and 50.9-52.6 GHz"
"48.54 GHz";"49.44 GHz";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.552, 5.550C), MOBILE";"5.149, 5.340, 5.555";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.550C, 5.552), MOBILE, RADIO ASTRONOMY";"5.149, 5.340, 5.555, ECA17A";"";"Radio astronomy";"";"Spectral line observations (e.g. carbon monosulphide line)"

"49.44 GHz";"50.2 GHz";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.552, 5.338A, 5.550C), FIXED-SATELLITE (SPACE-TO-EARTH)(5.516B, 5.554A, 5.555B), MOBILE";"";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.338A, 5.550C, 5.552), FIXED-SATELLITE (SPACE-TO-EARTH)(5.516B, 5.554A, 5.555B), MOBILE";"ECA17A";"ECC/DEC/(05)08, ECC/DEC/(21)01";"FSS Earth stations";"";"High Density FSS"
"49.44 GHz";"50.2 GHz";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.552, 5.338A, 5.550C), FIXED-SATELLITE (SPACE-TO-EARTH)(5.516B, 5.554A, 5.555B), MOBILE";"";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.338A, 5.550C, 5.552), FIXED-SATELLITE (SPACE-TO-EARTH)(5.516B, 5.554A, 5.555B), MOBILE";"ECA17A";"ERC/REC 12-11";"Fixed";"EN 302 217";"Within the band 48.5-50.2 GHz and 50.9-52.6 GHz"

"50.2 GHz";"50.4 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), SPACE RESEARCH (PASSIVE)";"5.340";"EARTH EXPLORATION-SATELLITE (PASSIVE), SPACE RESEARCH (PASSIVE)";"5.340";"";"Passive sensors (satellite)";"";"Atmospheric temperature sounding. Terrestrial passive radiometers. Reference window for the 52.6-59.3 GHz band"
"50.2 GHz";"50.4 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), SPACE RESEARCH (PASSIVE)";"5.340";"EARTH EXPLORATION-SATELLITE (PASSIVE), SPACE RESEARCH (PASSIVE)";"5.340";"";"Radio astronomy";"";"Continuum and spectral line observations"

"50.4 GHz";"51.4 GHz";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.338A, 5.550C), MOBILE, Mobile-Satellite (Earth-to-space)";"";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.338A, 5.550C), Mobile-Satellite (Earth-to-space)";"";"ECC/DEC/(21)01";"FSS Earth stations";"";" Coordinated gateway Earth stations"
"50.4 GHz";"51.4 GHz";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.338A, 5.550C), MOBILE, Mobile-Satellite (Earth-to-space)";"";"FIXED, FIXED-SATELLITE (EARTH-TO-SPACE)(5.338A, 5.550C), Mobile-Satellite (Earth-to-space)";"";"ERC/REC 12-11";"Fixed";"EN 302 217";"Within the band 48.5-50.2 GHz and 50.9-52.6 GHz"

"51.4 GHz";"52.4 GHz";"FIXED(5.338A), FIXED-SATELLITE (EARTH-TO-SPACE)(5.555C), MOBILE";"5.547, 5.556";"FIXED(5.338A), FIXED-SATELLITE (EARTH-TO-SPACE)(5.555C), MOBILE, RADIO ASTRONOMY";"5.547, 5.556";"ECC/DEC/(21)01";"FSS Earth stations";"";" Coordinated gateway Earth stations"
"51.4 GHz";"52.4 GHz";"FIXED(5.338A), FIXED-SATELLITE (EARTH-TO-SPACE)(5.555C), MOBILE";"5.547, 5.556";"FIXED(5.338A), FIXED-SATELLITE (EARTH-TO-SPACE)(5.555C), MOBILE, RADIO ASTRONOMY";"5.547, 5.556";"ERC/REC 12-11";"Fixed";"EN 302 217";"Within the band 48.5-50.2 GHz and 50.9-52.6 GHz"
"51.4 GHz";"52.4 GHz";"FIXED(5.338A), FIXED-SATELLITE (EARTH-TO-SPACE)(5.555C), MOBILE";"5.547, 5.556";"FIXED(5.338A), FIXED-SATELLITE (EARTH-TO-SPACE)(5.555C), MOBILE, RADIO ASTRONOMY";"5.547, 5.556";"";"Radio astronomy";"";"Continuum and spectral line observations"

"52.4 GHz";"52.6 GHz";"FIXED(5.338A), MOBILE";"5.547, 5.556";"FIXED(5.338A), MOBILE, RADIO ASTRONOMY(5.547, 5.556)";"";"ERC/REC 12-11";"Fixed";"EN 302 217";"Within the band 48.5-50.2 GHz and 50.9-52.6 GHz"
"52.4 GHz";"52.6 GHz";"FIXED(5.338A), MOBILE";"5.547, 5.556";"FIXED(5.338A), MOBILE, RADIO ASTRONOMY(5.547, 5.556)";"";"";"Radio astronomy";"";"Continuum and spectral line observations"

"52.6 GHz";"54.25 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), SPACE RESEARCH (PASSIVE)";"5.340, 5.556";"EARTH EXPLORATION-SATELLITE (PASSIVE), SPACE RESEARCH (PASSIVE)";"5.340, 5.556";"";"Passive sensors (satellite)";"";"Atmospheric temperature sounding. Terrestrial passive radiometers"
"52.6 GHz";"54.25 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), SPACE RESEARCH (PASSIVE)";"5.340, 5.556";"EARTH EXPLORATION-SATELLITE (PASSIVE), SPACE RESEARCH (PASSIVE)";"5.340, 5.556";"";"Radio astronomy";"";"Continuum and spectral line observations"

"54.25 GHz";"55.78 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.556A), SPACE RESEARCH (PASSIVE)";"5.556B";"EARTH EXPLORATION-SATELLITE (PASSIVE), SPACE RESEARCH (PASSIVE)";"";"";"Passive sensors (satellite)";"";"Atmospheric temperature sounding. Terrestrial passive radiometers"

"55.78 GHz";"56.9 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED(5.557A), INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547, 5.557";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED(5.557A), INTER-SATELLITE(5.556A), SPACE RESEARCH (PASSIVE)";"5.547, 5.558";"ERC/REC 12-12";"Fixed";"EN 302 217";"High density fixed links"
"55.78 GHz";"56.9 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED(5.557A), INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547, 5.557";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED(5.557A), INTER-SATELLITE(5.556A), SPACE RESEARCH (PASSIVE)";"5.547, 5.558";"";"Passive sensors (satellite)";"";"Atmospheric temperature sounding"

"56.9 GHz";"57 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.558A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547, 5.557";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.558A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547";"ERC/REC 12-12";"Fixed";"EN 302 217";"High density fixed links"
"56.9 GHz";"57 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.558A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547, 5.557";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.558A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547";"";"Passive sensors (satellite)";"";"Atmospheric temperature sounding"

"57 GHz";"58.2 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547, 5.557";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547";"";"Fixed";"EN 302 217";"Un-coordinated deployment. High density fixed links"
"57 GHz";"58.2 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547, 5.557";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547";"ECC/DEC/(11)02, ERC/REC 70-03";"LPR";"EN 302 729";""
"57 GHz";"58.2 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547, 5.557";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547";"ERC/REC 70-03";"Non-specific SRDs";"EN 305 550";"Within the band 57-64 GHz"
"57 GHz";"58.2 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547, 5.557";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547";"";"Passive sensors (satellite)";"";"Atmospheric temperature sounding"
"57 GHz";"58.2 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547, 5.557";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547";"ERC/REC 70-03";"TLPR";"EN 302 372";""
"57 GHz";"58.2 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547, 5.557";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), SPACE RESEARCH (PASSIVE)";"5.547";"ERC/REC 70-03";"Wideband data transmission systems";"EN 302 567, EN 303 722, EN 303 753";""

"58.2 GHz";"59 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, SPACE RESEARCH (PASSIVE)";"5.547, 5.556";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.547, 5.556, ECA6, ECA19";"";"Fixed";"EN 302 217";"Un-coordinated deployment. High density fixed links"
"58.2 GHz";"59 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, SPACE RESEARCH (PASSIVE)";"5.547, 5.556";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.547, 5.556, ECA6, ECA19";"ECC/DEC/(11)02, ERC/REC 70-03";"LPR";"EN 302 729";""
"58.2 GHz";"59 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, SPACE RESEARCH (PASSIVE)";"5.547, 5.556";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.547, 5.556, ECA6, ECA19";"ERC/REC 70-03";"Non-specific SRDs";"EN 305 550";"Within the band 57-64 GHz"
"58.2 GHz";"59 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, SPACE RESEARCH (PASSIVE)";"5.547, 5.556";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.547, 5.556, ECA6, ECA19";"";"Passive sensors (satellite)";"";"Atmospheric temperature sounding. Terrestrial passive radiometers"
"58.2 GHz";"59 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, SPACE RESEARCH (PASSIVE)";"5.547, 5.556";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.547, 5.556, ECA6, ECA19";"";"Radio astronomy";"";"Continuum and spectral line observations"
"58.2 GHz";"59 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, SPACE RESEARCH (PASSIVE)";"5.547, 5.556";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.547, 5.556, ECA6, ECA19";"ERC/REC 70-03";"TLPR";"EN 302 372";""
"58.2 GHz";"59 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, SPACE RESEARCH (PASSIVE)";"5.547, 5.556";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.547, 5.556, ECA6, ECA19";"ERC/REC 70-03";"Wideband data transmission systems";"EN 302 567, EN 303 722, EN 303 753";""

"59 GHz";"59.3 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"";"Fixed";"EN 302 217";"High density fixed links"
"59 GHz";"59.3 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"ECC/DEC/(11)02, ERC/REC 70-03";"LPR";"EN 302 729";""
"59 GHz";"59.3 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"ERC/REC 70-03";"Non-specific SRDs";"EN 305 550";"Within the band 57-64 GHz"
"59 GHz";"59.3 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"";"Passive sensors (satellite)";"";"Atmospheric temperature sounding. Terrestrial passive radiometers"
"59 GHz";"59.3 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"ERC/REC 70-03";"TLPR";"EN 302 372";""
"59 GHz";"59.3 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, INTER-SATELLITE(5.556A), MOBILE(5.558), RADIOLOCATION(5.559), SPACE RESEARCH (PASSIVE)";"";"ERC/REC 70-03";"Wideband data transmission systems";"EN 302 567, EN 303 722, EN 303 753";""

"59.3 GHz";"64 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"";"Fixed";"EN 302 217";"High density fixed links"
"59.3 GHz";"64 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"";"ISM";"";"Within the band 61.0-61.5 GHz"
"59.3 GHz";"64 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"ECC/DEC/(09)01";"ITS";"EN 302 686";"Within the band 63.72- 65.88
GHz"
"59.3 GHz";"64 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"ECC/DEC/(11)02, ERC/REC 70-03";"LPR";"EN 302 729";""
"59.3 GHz";"64 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"ERC/REC 70-03";"Non-specific SRDs";"EN 305 550";"Within the band 57-64 GHz"
"59.3 GHz";"64 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"ERC/REC 70-03";"TLPR";"EN 302 372";""
"59.3 GHz";"64 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"FIXED, INTER-SATELLITE, MOBILE(5.558), RADIOLOCATION(5.559)";"5.138";"ERC/REC 70-03";"Wideband data transmission systems";"EN 302 567, EN 303 722, EN 303 753";""

"64 GHz";"65 GHz";"FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.547, 5.556";"FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.547, 5.556";"";"Fixed";"EN 302 217";"High density fixed links"
"64 GHz";"65 GHz";"FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.547, 5.556";"FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.547, 5.556";"ECC/DEC/(09)01, ERC/REC 70-03";"ITS";"EN 302 686";"Within the band 63.72 - 65.88  GHz"
"64 GHz";"65 GHz";"FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.547, 5.556";"FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.547, 5.556";"";"Radio astronomy";"";"Continuum and spectral line observations"
"64 GHz";"65 GHz";"FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.547, 5.556";"FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.547, 5.556";"ERC/REC 70-03";"Wideband data transmission systems";"EN 302 567, EN 303 722, EN 303 753";""

"65 GHz";"66 GHz";"EARTH EXPLORATION-SATELLITE, FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE, SPACE RESEARCH";"5.547";"EARTH EXPLORATION-SATELLITE, FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE, SPACE RESEARCH";"5.547";"";"Fixed";"EN 302 217";"High density fixed links"
"65 GHz";"66 GHz";"EARTH EXPLORATION-SATELLITE, FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE, SPACE RESEARCH";"5.547";"EARTH EXPLORATION-SATELLITE, FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE, SPACE RESEARCH";"5.547";"ECC/DEC/(09)01, ERC/REC 70-03";"ITS";"EN 302 686";"Within the band 63.72 - 65.88  GHz"
"65 GHz";"66 GHz";"EARTH EXPLORATION-SATELLITE, FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE, SPACE RESEARCH";"5.547";"EARTH EXPLORATION-SATELLITE, FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE, SPACE RESEARCH";"5.547";"";"Land mobile";"";"Broadband mobile systems for connection to IBCN paired with 62-63 GHz"
"65 GHz";"66 GHz";"EARTH EXPLORATION-SATELLITE, FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE, SPACE RESEARCH";"5.547";"EARTH EXPLORATION-SATELLITE, FIXED, INTER-SATELLITE, MOBILE EXCEPT AERONAUTICAL MOBILE, SPACE RESEARCH";"5.547";"ERC/REC 70-03";"Wideband data transmission systems";"EN 302 567, EN 303 722, EN 303 753";""

"66 GHz";"71 GHz";"INTER-SATELLITE, MOBILE(5.553, 5.558), MOBILE-SATELLITE, RADIONAVIGATION, RADIONAVIGATION-SATELLITE";"5.554, 5.559AA";"INTER-SATELLITE, MOBILE(5.553, 5.558), MOBILE-SATELLITE, RADIONAVIGATION, RADIONAVIGATION-SATELLITE";"5.554";"";"-";"";"Future civil systems"
"66 GHz";"71 GHz";"INTER-SATELLITE, MOBILE(5.553, 5.558), MOBILE-SATELLITE, RADIONAVIGATION, RADIONAVIGATION-SATELLITE";"5.554, 5.559AA";"INTER-SATELLITE, MOBILE(5.553, 5.558), MOBILE-SATELLITE, RADIONAVIGATION, RADIONAVIGATION-SATELLITE";"5.554";"ERC/REC 70-03";"Wideband data transmission systems";"EN 302 567, EN 303 722, EN 303 753";""

"71 GHz";"74 GHz";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, MOBILE-SATELLITE (SPACE-TO-EARTH)";"";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, MOBILE-SATELLITE (SPACE-TO-EARTH)";"";"ECC/REC/(05)07";"Fixed";"EN 302 217";""

"74 GHz";"75.5 GHz";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"ECC/REC/(05)07";"Fixed";"EN 302 217";""
"74 GHz";"75.5 GHz";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"ECC/DEC/(11)02, ERC/REC 70-03";"LPR";"EN 302 729";""
"74 GHz";"75.5 GHz";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"";"Space research";"";"VLBI measurements within the band 74-84 GHz"
"74 GHz";"75.5 GHz";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"ERC/REC 70-03";"TLPR";"EN 302 372";""

"75.5 GHz";"76 GHz";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), Amateur, Amateur-satellite";"5.561, ECA35";"";"Amateur";"";"Within the band 75.5-81.5 GHz"
"75.5 GHz";"76 GHz";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), Amateur, Amateur-satellite";"5.561, ECA35";"";"Amateur-satellite";"";"Within the band 75.5-81.5 GHz"
"75.5 GHz";"76 GHz";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), Amateur, Amateur-satellite";"5.561, ECA35";"ECC/REC/(05)07";"Fixed";"EN 302 217";""
"75.5 GHz";"76 GHz";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), Amateur, Amateur-satellite";"5.561, ECA35";"ECC/DEC/(11)02, ERC/REC 70-03";"LPR";"EN 302 729";""
"75.5 GHz";"76 GHz";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), Amateur, Amateur-satellite";"5.561, ECA35";"";"Space research";"";"VLBI"
"75.5 GHz";"76 GHz";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, Space research (space-to-Earth)";"5.561";"BROADCASTING, BROADCASTING-SATELLITE, FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), Amateur, Amateur-satellite";"5.561, ECA35";"ERC/REC 70-03";"TLPR";"EN 302 372";""

"76 GHz";"77.5 GHz";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-satellite, Space research (space-to-Earth)";"5.149";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-satellite, Space research (space-to-Earth)";"5.149";"";"Amateur";"";"Within the band 75.5-81.5 GHz"
"76 GHz";"77.5 GHz";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-satellite, Space research (space-to-Earth)";"5.149";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-satellite, Space research (space-to-Earth)";"5.149";"";"Amateur-satellite";"";"Within the band 75.5-81.5 GHz"
"76 GHz";"77.5 GHz";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-satellite, Space research (space-to-Earth)";"5.149";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-satellite, Space research (space-to-Earth)";"5.149";"ECC/DEC/(21)02, ERC/REC 70-03";"GBSAR";"EN 303 661";"Within frequency band 76-77 GHz"
